# Nodes: 1000, Edges: 4581, Weighted: 1
1	830	0.889358
1	864	1.04582
1	954	4.62174
1	996	3.66482
2	435	0.12999
2	600	0.194618
2	967	2.36394
2	977	2.91205
3	539	3.01999
3	750	1.02891
3	972	2.23543
3	973	2.33571
4	562	1.05388
4	756	1.69203
4	858	4.31596
4	967	2.85521
5	702	0.993436
5	742	1.93491
5	750	2.67165
5	1000	2.355
6	737	4.35066
6	790	0.523252
6	946	1.44268
6	992	3.63407
7	179	1.25187
7	714	0.692569
7	833	0.608536
7	970	3.047
8	83	1.08913
8	540	2.91691
8	887	0.675019
8	988	3.83584
9	151	1.74485
9	336	0.626272
9	833	3.22872
9	934	3.97459
10	372	0.865752
10	743	2.08345
10	844	1.28927
10	981	3.44497
11	380	4.40908
11	491	0.600592
11	962	1.82991
11	991	3.16951
12	254	1.27479
12	604	1.67925
12	610	6.78823
12	808	2.64626
13	73	1.26622
13	883	2.36935
13	918	1.54774
13	945	2.78602
14	16	0.306464
14	23	2.09899
14	666	1.96045
14	973	3.19499
15	326	1.51163
15	632	2.21064
15	704	1.87776
15	904	1.70811
16	81	2.24489
16	810	3.43848
16	854	3.04846
17	43	2.4
17	83	1.05017
17	150	1.91401
17	950	2.63582
18	47	1.70253
18	261	3.3541
18	725	1.75843
18	839	2.141
19	40	0.731721
19	583	0.106549
19	853	0.996216
19	984	3.76541
20	754	2.30644
20	820	0.241356
20	968	2.26361
20	988	3.09504
21	246	2.12227
21	648	0.631176
21	802	1.05559
21	901	1.79103
22	871	1.24773
22	905	4.5253
22	968	1.76042
22	988	2.59185
23	89	1.44524
23	167	2.05563
23	404	4.40908
24	88	2.4
24	592	1.05083
24	695	1.27151
24	930	3.27766
25	810	1.37671
25	862	1.89305
25	889	1.10842
25	982	3.11486
26	927	2.89515
26	933	1.16767
26	943	1.22001
26	975	3.21229
27	488	4.40908
27	898	1.57704
27	930	1.56445
27	944	2.45862
28	34	0.194389
28	215	2.96005
28	405	2.44545
28	983	2.85258
29	76	0.506317
29	514	2.82174
29	664	1.76442
29	973	3.32933
30	557	0.416593
30	584	1.37521
30	888	2.14475
30	944	3.03867
31	362	3.3541
31	978	1.48019
31	993	1.5544
31	996	2.5654
32	231	0.540095
32	251	3.3541
32	706	2.09646
32	882	2.96344
33	43	1.14508
33	742	2.62273
33	797	1.83214
33	985	2.66864
34	86	2.4
34	992	2.74513
34	995	2.66049
35	699	0.932479
35	728	2.09482
35	943	1.55882
35	984	3.10861
36	714	2.39128
36	759	1.35297
36	846	5.17449
36	890	1.85573
37	318	0.857864
37	523	5.55608
37	756	2.04501
37	926	2.69943
38	58	0.313694
38	308	2.16453
38	884	1.73781
38	914	3.12178
39	585	1.62426
39	710	1.66827
39	908	7.61221
39	975	2.30746
